pants_description,Avg_Discount
"Men Comfort Regular Fit Jeans",2974.00
"Cargo Style Stretchable Jeans",2974.00
"Men Corsica Slim Fit Jeans",2974.00
"Men Straight Classic Jeans",2974.00
"Mid-Rise Barrel Fit Jeans",2969.00
"Slim Fit Mid-Rise Wash Jeans",2969.00
"Men Morvan Slim Fit Jeans",2969.00
"Men Astro Slim Fit Jeans",2949.00
"Men No Fade Jeans",2936.00
"Regular Fit Light Wash Jeans",2936.00
"Men Regular Fit   Jeans",2936.00
"Regular Fit Cropped Jeans",2936.00
"Bootcut Embroidered Jeans",2924.00
"Men Plus Size Clean Look Jeans",2914.00
"Men Velles Slim Fit Jeans",2914.00
"Men Poke Regular Fit Trouser",2904.00
"Plus Size Regular Fit  Jeans",2899.00
"Men Slim Fit Denim Jeans",2887.17
"Men Cosmog Slim Fit Jeans",2869.00
"Men Essen Slim Fit Jeans",2861.50
"Skinny Fit Heavy Fade Jeans",2850.11
"Baggy Cargo Jeans",2849.00
"Men Sam Carrot Fit Jeans",2840.67
"Men Hollywood Bootcut Jeans",2839.00
"Men Mesa Slim Fit Jeans",2839.00
"Men Slim Tapered Fit",2836.00
"Men Arbok Slim Fit Jeans",2834.00
"Men Blue Low-Rise Jeans",2832.33
"Unisex Regular Fit Jeans",2808.33
"Men 527 Slim Bootcut Fit Jeans",2807.00
"Men Flared Jeans",2803.50
"Cotton Denim Cargo Jeans",2800.00
"Mid-Rise Oversized  Jeans",2800.00
"Relaxed Fit Denim Cargo Jeans",2800.00
"Plus Size Mild Distress Jeans",2799.00
"Stretchable Slim Fit  Jeans",2799.00
"Pure Cotton Loose Cargo Jeans",2799.00
"Men Millard Regular Fit Jeans",2774.00
"Men Celebi Slim Fit Jeans",2764.00
"Stretchable Skinny Fit Jeans",2759.00
"Men Belarus Slim Fit Jeans",2759.00
"Men Divi Slim Fit Jeans",2749.00
"Men Slim Fit Joggers",2749.00
"Men Toulouse Slim Fit Jeans",2749.00
"Men Reney Slim Fit Jeans",2749.00
"Men Tram Slim Fit Jeans",2749.00
"Men Comfort Straight Fit Jeans",2743.00
"Regular Fit Stretch Jeans",2729.00
"Men Night Slim Fit Jeans",2728.33
"Men Mid Rise Light Fade Jeans",2728.33
"Men Saho Slim Fit Jeans",2719.00
"Me Mildly Distressed Jeans",2719.00
"Men Bootcut Low-Rise Jeans",2716.55
"Men  High-Rise Jeans",2699.00
"Men Astra Regular Fit Jeans",2699.00
"Plus Size Men Jogger Fit Jeans",2699.00
"Pure Cotton Denim Jeans",2699.00
"Comfort Fit Casual Jeans",2699.00
"Classic Relaxed Fit Jeans",2699.00
"High-Rise Stretchable Jeans",2699.00
"Men Heavy Fade High-Rise Jeans",2699.00
"Men Mid-Rise Comfort Fit Jeans",2699.00
"Men Comfort Stretchable Jeans",2678.70
"Regular Fit Dark Jeans",2669.00
"Men Low Crotch Fit Jeans",2649.00
"Men Oxin Slim Fit Jeans",2639.00
"Men 517 Bootcut Jeans",2624.00
"Men Regular Fit No Fade Jeans",2622.00
"Wide Leg Cargo Jeans",2603.00
"Fit Mid-Rise Regular Jeans",2599.00
"Bootcut Light Fade Jeans",2599.00
"Men Clean Look No Fade Jeans",2599.00
"Men Ben Skinny Low-Rise Jeans",2589.00
"Tan Green Carrot Fit Denim",2589.00
"Men Widz Slim Fit Jeans",2584.00
"Slim Fit Casual Jeans",2579.00
"Men Relexed Fit  Jeans",2579.00
"Men 511 Stretchable Jeans",2565.00
"Loose Cargo Jeans",2564.00
"Relaxed Fit 5-Pocket Trousers",2564.00
"Redloop Men Skinny Fit Jeans",2559.00
"Men Jean Fit Mid-Rise Jeans",2551.25
"Men 505 Straight Fit Jeans",2549.00
"Unisex Relaxed Fit Jeans",2549.00
"Men Baggy Fit Heavy Fade Jeans",2542.67
"Men Slim Fit Classic Jeans",2536.50
"511 Slim Fit Jeans",2534.67
"Plus Size Mid Rise Jeans",2529.00
"Men Hawk Slim Fit Jeans",2529.00
"Men Reno Slim Fit Jeans",2529.00
"Men Decca Slim Fit Jeans",2529.00
"Straight Fit Low-Rise Cargo",2519.00
"Slim Fit Cotton Jean",2515.00
"Men Dark Blue Bootcut Jeans",2507.75
"Men Relaxed Fit Low-Rise Jeans",2503.48
"Men Bootcut Fit Mid-Rise Jeans",2499.00
"Men Heavy Fade Low-Rise Jeans",2499.00
"Men Rodeo Straight Fit Jeans",2499.00
"Men 555 Relaxed Fit Jeans",2498.00
"Men Relaxed-Fit Pro-Stretch Jeans",2490.00
"Regular Fit Casual Jeans",2483.00
"Men Slim Fit  Light Fade Jeans",2475.00
"Men Slim Clean Look Jeans",2474.00
"Men Bootcut-Fit Low-Rise Jeans",2474.00
"Men Slim Fit No Fade Jeans",2474.00
"Men Ray Slim Fit Jeans",2474.00
"Slim Fit Low-Rise  Jeans",2474.00
"High-Stretch Skinny Fit Jeans",2474.00
"Men Light Fade Low-Rise Jeans",2474.00
"Men Light Fade Denim Jeans",2465.75
"Men Holborne Mid-Rise Jeans",2454.00
"Men Morrison Skinny Fit Jeans",2449.00
"Men Low Rise Skinny Fit Jeans",2449.00
"Relaxed Fit Cotton Jeans",2439.20
"Men Slim Fit Distressed Jeans",2439.10
"Men ACE Slim Tapered Fit Jeans",2437.00
"Men Clean Look Denim Jeans",2418.50
"Men Solid Cargo Denim",2404.00
"Men Comfort Mid-Rise Jeans",2404.00
"Plus Size Low Distress Jeans",2404.00
"Men Relaxed Fit Jacquard Jeans",2404.00
"1Men Skinny Fit Mid-Rise Jeans",2399.00
"Men Pure Cotton Denim Jeans",2399.00
"Men Blue Mid-Rise Baggy Jeans",2399.00
"Men Switz Slim Fit Jeans",2399.00
"Regular Fit  Jeans",2399.00
"Men  Mid-Rise Skinny Fit Jeans",2399.00
"Men Blue Solid Regular Jeans",2399.00
"Men Straight-Fit Cotton Jeans",2395.00
"Men Comfort Cargo Styles Jeans",2393.00
"Mid-Rise Slim Fit Jeans",2390.90
"Men 511 Low-Rise Slim Jeans",2385.00
"Light Fade Cargo Jeans",2379.00
"Distressed Heavy Fade Jeans",2379.00
"Men Relaxed Fit Fade Jeans",2379.00
"Men Plus Size Joggers",2379.00
"10 Pocket Cargo Jeans Jeans",2374.00
"Men Bootcut Mid-Rise Jeans",2373.61
"Men Bootcut High-Rise Jeans",2360.71
"Men Slim Fit Mid-Rise  Jeans",2358.17
"Men Comfort Fit Mid-Rise Jeans",2324.00
"Redloop Men Slim Fit Mid-Rise Jeans",2319.00
"Men Skinny Tapered Fit Jeans",2313.00
"Heavy Fade Cargo Styles Jeans",2309.00
"Redloop Men Slim Fit Jeans",2309.00
"Men Skinny Jackson Fit Jeans",2309.00
"Men Solid Clean Look Jeans",2309.00
"Men High-Rise Stretchable Jean",2309.00
"Slim Fit High-Rise Jeans",2309.00
"Men Baggy pants",2309.00
"Ferdinand Slim Tapered Jeans",2309.00
"Men Casual Slim Fit Jeans",2309.00
"Pure Cotton Regular Fit  Jeans",2309.00
"Men Classic Bootcut Fit Jeans",2309.00
"Regular Jeans",2309.00
"Men MJ Mankle Jeans",2309.00
"Plus Size Men Light Fade Jeans",2299.00
"Skinny Fit Light Fade  Jeans",2299.00
"Men Mid-Rise Dark Jeans",2299.00
"Men Wide Leg High-Rise Jeans",2297.89
"Men 541 Tapered Fit Jeans",2284.17
"Bleed Zero Slim  Fit  Jeans",2284.00
"Men Skinny Fit Cotton  Jeans",2279.00
"Men Villa Regular Fit Jeans",2279.00
"Men Regular Fit Fade Jeans",2276.00
"Men Medium Shade Wide Leg Jeans",2267.00
"Plus Size Men Mid-Rise Jeans",2264.52
"Mid-Raise Light Fade Jeans",2249.00
"Men Printed Low-Rise Jeans",2249.00
"Men Vapour Tapered Fit Jeans",2249.00
"Men 511 Jeans",2249.00
"Men Low-Rise Jogger Jeans",2249.00
"Men Black Light Fade Jeans",2247.33
"Men Plus Size Mid Rise Jeans",2245.00
"Men Slim Fit Cotton  Jeans",2242.50
"Mildly Distressed Baggy Jeans",2239.00
"Men Slim Light Fade Fit Jeans",2239.00
"Regular Fit Low-Rise Jeans",2235.67
"Men REGALO Skinny Fit Jeans",2231.00
